athlete_certification_key,person_key,club_key,certification_type_key,person_type_key,has_certificate
6774,13616,1,1,1,1
6775,13617,1,1,1,1
6776,13619,66,1,1,1
6777,13621,66,1,1,1
6778,13623,66,1,1,1
6779,13625,66,1,1,1
6780,13629,66,1,1,1
6781,13630,66,1,1,1
6782,13634,66,1,1,1
6783,13635,66,1,1,1
6784,13638,66,1,1,1
6785,13639,66,1,1,1
6786,13640,66,1,1,1
6787,13644,66,1,1,1
6788,13648,66,1,1,1
6789,13652,66,1,1,1
6790,13655,66,1,1,1
6791,13661,66,1,1,1
6792,13663,66,1,1,1
6793,13666,66,1,1,1
6794,13668,66,1,1,1
6795,13671,66,1,1,1
6796,13672,66,1,1,1
6797,13674,66,1,1,1
6798,13676,66,1,1,1
6799,13680,66,1,1,1
6800,13682,66,1,1,1
6801,13684,66,1,1,1
6802,13691,66,1,1,1
6803,13693,66,1,1,1
6804,13698,66,1,1,1
6805,13704,66,1,1,1
6806,13707,66,1,1,1
6807,13711,66,1,1,1
6808,13712,66,1,1,1
6809,13716,66,1,1,1
6810,13718,66,1,1,1
6811,13720,66,1,1,1
6812,13722,66,1,1,1
6813,13723,66,1,1,1
6814,13726,66,1,1,1
6815,13727,66,1,1,1
6816,13729,66,1,1,1
6817,13731,66,1,1,1
6818,13732,197,1,1,1
6819,13733,197,1,1,1
6820,13734,197,1,1,1
6821,13736,197,1,1,1
6822,13737,197,1,1,1
6823,13748,157,1,1,1
6824,13749,157,1,1,1
6825,13750,157,1,1,1
6826,13751,157,1,1,1
6827,13752,,1,1,1
6828,13754,,1,1,1
6829,13755,,1,1,1
6830,13756,145,1,1,1
6831,13757,145,1,1,1
6832,13758,145,1,1,1
6833,13759,145,1,1,1
6834,13761,145,1,1,1
6835,13765,131,1,1,1
6836,13766,131,1,1,1
6837,13768,131,1,1,1
6838,13772,131,1,1,1
6839,13774,131,1,1,1
6840,13775,131,1,1,1
6841,13776,131,1,1,1
6842,13777,131,1,1,1
6843,13779,131,1,1,1
6844,13780,131,1,1,1
6845,13782,175,1,1,1
6846,13784,175,1,1,1
6847,13786,175,1,1,1
6848,13788,175,1,1,1
6849,13791,175,1,1,1
6850,13793,175,1,1,1
6851,13798,175,1,1,1
6852,13800,175,1,1,1
6853,13802,175,1,1,1
6854,13803,175,1,1,1
6855,13806,175,1,1,1
6856,13808,175,1,1,1
6857,13810,175,1,1,1
6858,13814,175,1,1,1
6859,13816,175,1,1,1
6860,13818,175,1,1,1
6861,13819,175,1,1,1
6862,13820,175,1,1,1
6863,13824,135,1,1,1
6864,13825,135,1,1,1
6865,13826,135,1,1,1
6866,13827,135,1,1,1
6867,13829,135,1,1,1
6868,13831,135,1,1,1
6869,13832,135,1,1,1
6870,13833,135,1,1,1
6871,13835,135,1,1,1
6872,13836,135,1,1,1
6873,13837,135,1,1,1
6874,13838,135,1,1,1
6875,13840,135,1,1,1
6876,13841,135,1,1,1
6877,13842,135,1,1,1
6878,13843,135,1,1,1
6879,13846,135,1,1,1
6880,13848,135,1,1,1
6881,13849,135,1,1,1
6882,13853,135,1,1,1
6883,13854,135,1,1,1
6884,13855,135,1,1,1
6885,13857,135,1,1,1
6886,13858,135,1,1,1
6887,13860,135,1,1,1
6888,13863,135,1,1,1
6889,13865,135,1,1,1
6890,13866,135,1,1,1
6891,13867,135,1,1,1
6892,13868,135,1,1,1
6893,13871,135,1,1,1
6894,13873,135,1,1,1
6895,13874,135,1,1,1
6896,13875,135,1,1,1
6897,13876,135,1,1,1
6898,13878,135,1,1,1
